T.Fe%,CaO%,MgO%,SiO2%,Al2O3%,MnO%,P%,Cr2O3%,AI
52.56,12.50,2.39,5.66,2.80,0.081,0.059,0.036,6.67
52.47,12.44,2.62,5.85,2.79,0.376,0.061,0.036,6.33
52.29,12.71,2.67,6.28,2.90,0.090,0.060,0.034,6.13
52.72,12.12,2.26,5.69,2.78,0.453,0.061,0.036,6.27
52.70,12.22,2.40,5.84,2.78,0.131,0.058,0.038,6.33
52.66,12.33,2.46,5.40,2.67,0.393,0.060,0.038,5.93
52.53,12.62,2.39,5.95,2.67,0.068,0.061,0.033,6.07
52.59,12.33,2.90,5.56,2.70,0.297,0.065,0.036,6.53
52.44,12.69,2.58,5.81,2.80,0.075,0.059,0.033,6.47
52.32,12.70,2.49,5.50,2.75,0.633,0.057,0.035,6.20
52.69,12.37,2.06,5.22,2.77,0.367,0.058,0.037,6.27
52.78,12.53,2.07,5.32,2.75,0.073,0.060,0.031,6.60
52.75,12.36,2.18,5.47,2.74,0.394,0.060,0.032,6.47
53.02,12.01,2.08,5.04,2.70,0.117,0.054,0.035,5.87
52.47,12.61,2.16,5.54,2.68,0.520,0.057,0.035,6.00
52.65,12.48,2.28,5.80,2.83,0.268,0.059,0.032,6.53
52.88,12.02,2.12,5.81,2.75,0.463,0.059,0.032,6.33
53.18,11.98,1.95,5.39,2.72,0.112,0.056,0.031,6.13
52.69,12.46,2.19,5.62,2.73,0.260,0.057,0.031,5.93
52.91,12.38,2.13,5.24,2.65,0.213,0.056,0.031,6.07
52.94,12.05,2.16,5.34,2.61,0.508,0.056,0.032,5.93
53.05,12.18,2.28,4.94,2.55,0.145,0.058,0.032,6.27
52.95,12.21,2.17,5.36,2.61,0.527,0.058,0.031,6.20
53.92,11.97,1.95,4.84,2.60,0.131,0.053,0.031,6.13
53.01,12.13,2.02,5.23,2.62,0.066,0.055,0.031,6.67
52.79,12.23,2.21,5.34,2.66,0.322,0.056,0.032,6.07
53.07,11.92,2.03,5.40,2.74,0.086,0.057,0.034,6.27
52.88,11.99,2.17,5.52,2.74,0.468,0.055,0.034,6.20
52.73,12.43,2.03,5.60,2.80,0.116,0.060,0.032,6.80
52.29,12.65,2.36,5.97,2.75,0.501,0.058,0.032,6.60
52.30,12.81,2.38,5.71,2.74,0.099,0.057,0.033,6.40
52.29,12.72,2.50,5.80,2.71,0.342,0.054,0.034,6.00
52.51,12.60,2.27,6.18,2.83,0.106,0.058,0.030,5.67
52.37,13.07,2.33,5.41,2.70,0.128,0.057,0.030,6.53
52.83,12.43,2.38,4.94,2.61,0.104,0.058,0.032,6.47
52.39,12.90,2.53,5.36,2.63,0.461,0.058,0.033,5.73
52.49,12.97,2.50,5.16,2.60,0.151,0.057,0.030,6.27
52.50,12.81,2.48,5.62,2.67,0.372,0.060,0.030,6.07
52.44,12.90,2.48,5.16,2.66,0.128,0.059,0.031,5.67
52.29,13.07,2.65,5.38,2.67,0.511,0.057,0.030,6.33
52.45,13.21,2.54,4.98,2.62,0.130,0.058,0.032,6.60
52.37,13.22,2.60,5.24,2.63,0.459,0.062,0.030,6.40
52.43,13.08,2.68,5.02,2.62,0.146,0.056,0.031,6.20
52.36,12.88,2.74,5.37,2.67,0.381,0.055,0.034,6.13
52.64,12.66,2.76,5.63,2.74,0.105,0.058,0.031,6.07
52.35,12.76,2.72,5.48,2.68,0.498,0.057,0.032,6.53
52.65,12.76,2.51,5.22,2.64,0.150,0.060,0.031,6.27
52.57,12.66,2.58,5.39,2.64,0.405,0.060,0.031,5.87
52.37,13.00,2.67,5.16,2.67,0.129,0.061,0.031,6.47
52.37,12.87,2.68,5.45,2.64,0.506,0.058,0.033,6.33
52.65,12.70,2.46,5.45,2.66,0.092,0.060,0.031,6.33
52.41,12.81,2.65,5.55,2.64,0.433,0.063,0.031,6.20
52.67,12.61,2.58,5.21,2.70,0.107,0.064,0.031,6.67
52.29,12.96,2.85,5.82,2.70,0.471,0.061,0.032,6.00
52.55,12.71,2.48,5.15,2.68,0.158,0.061,0.034,6.27
51.82,13.60,2.52,5.89,2.73,0.403,0.063,0.031,6.60
52.24,13.34,2.58,5.34,2.61,0.128,0.058,0.031,5.67
52.08,13.49,2.73,5.93,2.63,0.327,0.062,0.033,6.00
52.45,12.99,2.42,5.28,2.66,0.097,0.061,0.032,6.40
52.11,13.27,2.58,5.83,2.66,0.327,0.065,0.032,6.13
52.51,12.88,2.44,5.14,2.66,0.109,0.060,0.033,6.47
51.99,13.24,2.48,5.50,2.70,0.868,0.063,0.032,6.53
52.32,12.90,2.65,5.76,2.71,0.199,0.059,0.032,6.67
52.07,12.83,2.67,5.75,2.74,0.835,0.059,0.031,6.27
52.39,12.77,2.53,5.60,2.70,0.245,0.058,0.035,6.53
51.92,13.07,2.61,5.66,2.71,1.024,0.060,0.034,6.60
52.46,12.59,2.62,5.91,2.70,0.242,0.058,0.032,6.33
51.85,13.30,2.71,6.37,2.79,0.839,0.062,0.030,6.07
52.54,12.46,2.45,5.75,2.80,0.303,0.060,0.032,6.67
51.96,13.28,2.62,5.66,2.70,0.780,0.060,0.031,6.67
52.17,13.19,2.78,5.77,2.78,0.169,0.060,0.031,6.60
51.99,13.09,2.75,6.19,2.92,0.289,0.060,0.031,6.20
52.56,12.77,2.25,5.42,2.80,0.126,0.059,0.030,6.60
51.76,14.10,2.12,5.37,2.72,0.540,0.061,0.028,6.27
53.00,12.19,1.98,4.52,2.60,0.086,0.057,0.032,6.53
51.78,13.44,2.45,5.17,2.63,0.190,0.060,0.033,6.53
52.68,12.56,2.38,5.17,2.76,0.089,0.062,0.032,6.27
52.07,13.16,2.62,5.51,2.76,0.338,0.061,0.033,5.80
